Job Name,Salary Description,Skills,City Name,Job Degree
IOT数据采集工程师,7-12K,['IOT数据采集'],烟台,大专
物联网IOT销售经理,10-15K,"['互联网/科技', '3C电子', '物联网', '通讯行业']",深圳,本科
物联网开发工程师,1800-3500元/周,"['Java', 'Spring', 'MySQL', 'SQL Server', '物联网经验']",成都,本科
java物联网开发工程师,5-8K,"['Java', 'SpringCloud', 'Netty', 'MyBatis', 'MySQL', 'Redis', '不接受居家办公', '物联网经验', 'MES开发经验']",昆明,大专
IOT系统测试工程师,13-22K·15薪,['嵌入式测试'],上海,本科
IOT云平台开发,21-30K,"['云平台开发', 'IOT']",东莞,本科
电力物联网后端开发工程师,7-8K,"['C++', 'Python', 'Elasticsearch', 'Oracle', '分布式经验']",保定,本科
物联网应用开发工程师,12-20K,"['物联网', 'emqx', 'mqtt']",成都,本科
物联网工程师,6-10K,"['Java', 'C++', 'Spring', 'SpringCloud', 'MySQL', 'SQL Server']",徐州,大专
物联网前端工程师,8-12K,['物联网'],保定,大专
iot测试工程师,14-18K·14薪,"['自动化测试', 'APP测试', '编程']",无锡,本科
软件测试物联网独角兽企业/16薪年薪50w以内,14-28K·15薪,"['自动化测试', '压力测试', '渗透测试', 'Python', 'Java', '掌握软件测试理论和流程', '软件开发经验', '计算机相关专业']",西安,本科
电子工程师（IOT方向）,6-9K·13薪,"['PCB设计', '热风枪', '示波器', 'Altium Designer', '智能家居赛道', 'BOM 焊接']",深圳,本科
IOT实施工程师,13-15K,"['IOT', '物联网', '智慧']",深圳,本科
物联网IOT开发,11-17K·13薪,"['ARM开发', '计算机相关专业', '通信相关专业', '嵌入式/单片机开发经验']",西安,大专
IoT技术支持（杭州）,8-10K,"['企业内部IT技术支持', 'MySQL/Oracle', '技术支持', 'IoT项目技术支持']",杭州,大专
物联网云平台负责人,6-7K,"['.NET', 'C#', '数据采集']",广州,本科
物联网工程师,6-10K,['MySQL'],泉州,大专
物联网工程师,4-7K,"['PLC编程', '人机界面软件']",烟台,本科
java物联网开发工程师,8-12K,"['Java', 'Spring', 'SpringCloud', 'Docker', '不接受居家办公', 'PostgreSQL', 'SQL Server', 'MySQL', '物联网经验', '大数据经验', 'MES开发经验', 'IOT', '物联网']",新乡,本科
测试工程师（物联网方向）,8-10K,"['性能测试', '功能测试', '硬件测试', '物联网']",福州,本科
数采工程师（物联网工程师）,4-8K,"['数据采集', '自动化']",长春,大专
物联网工程师,30-40K,"['Java', 'SpringCloud', '不接受居家办公', '物联网经验', '物联网']",衡阳,本科
物联网软件开发工程师,7-10K,"['java', 'springboot', 'vue', 'javascript', 'css', 'modbus', 'tcp', 'mqtt']",贵阳,本科
物联网工程师（包吃住，五险一金）,6-9K,"['Java', 'Python', 'C#', 'C语言']",东莞,本科
物联网（IoT）架构师,15-30K,"['Java', '微服务架构', '搜索引擎技术', '分布式技术', 'Spring']",青岛,本科
物联网开发工程师,10-15K·14薪,['IOT'],柳州,本科
物联网软件开发工程师,4-9K,"['C++', 'C语言', '计算机相关专业', 'C++服务端开发经验', 'Qt项目开发经验', '计算机专业', '物联网专业', '物联网']",石家庄,本科
