Job Name,Salary Description,Skills,City Name,Job Degree,Job Experience,Brand name,BrandIndustry,WelfareList
物联网IOT销售经理,10-15K,"['互联网/科技', '3C电子', '物联网', '通讯行业']",深圳,本科,5-10年,途鸽科技,智能硬件,"['节日福利', '带薪年假', '绩效奖金', '五险一金']"
产品工程师（IOT/物联网）,15-25K,['物联网产品'],广州,本科,经验不限,菲亚兰德,智能硬件,"['交通补助', '绩效奖金', '节日福利', '生日福利', '员工旅游', '五险一金', '全勤奖', '股票期权', '定期体检', '带薪年假', '餐补', '团建聚餐', '住房补贴', '年终奖', '有无线网', '零食下午茶']"
物联网工程师,11-17K,"['全栈工程师', '架构师', 'Java', 'C/C++', 'Python', '计算机/软件工程相关经验', 'Java开发经验', '分布式系统开发经验']",常州,本科,3-5年,江苏固立得精密光电,电子/半导体/集成电路,[]
IOT智能硬件测试（北京）,10-11K,"['智能硬件类', '通信设备类', '手机/电脑硬件类', '自动化相关专业']",北京,大专,3-5年,法本,计算机软件,"['加班补助', '零食下午茶', '带薪年假', '定期体检', '企业文化', '员工旅游', '五险一金', '节日福利']"
IOT系统测试工程师,13-22K·15薪,['嵌入式测试'],上海,本科,1-3年,大金(中国),通用设备,"['五险一金', '通讯补贴', '节假日加班费', '带薪年假', '加班补助', '团建聚餐', '节日福利', '法定节假日三薪', '交通补助', '定期体检', '员工旅游', '年终奖', '生日福利']"
物联网应用开发工程师,12-20K,"['物联网', 'emqx', 'mqtt']",成都,本科,经验不限,成都云卬科技有限公司,新能源,"['交通补助', '带薪年假', '五险一金', '节日福利', '员工旅游']"
物联网前端工程师,8-12K,['物联网'],保定,大专,3-5年,点动科技,计算机软件,"['年终奖', '零食下午茶', '餐补', '工龄奖', '加班补助', '带薪年假', '全勤奖', '节日福利', '绩效奖金', '五险一金']"
IoT技术支持（杭州）,8-10K,"['企业内部IT技术支持', 'MySQL/Oracle', '技术支持', 'IoT项目技术支持']",杭州,大专,1-3年,润和软件,互联网,"['交通补助', '定期体检', '零食下午茶', '年终奖', '餐补', '五险一金', '员工旅游', '节日福利', '通讯补贴', '加班补助', '股票期权', '带薪年假']"
物联网工程师,6-10K,"['Java', 'C++', 'Spring', 'SpringCloud', 'MySQL', 'SQL Server']",徐州,大专,1-3年,江苏骏迪丰,机械设备/机电/重工,[]
iot测试工程师,14-18K·14薪,"['自动化测试', 'APP测试', '编程']",无锡,本科,3-5年,威能无锡,家具/家电/家居,"['带薪年假', '定期体检', '保底工资', '专业技能培训', '包吃', '节日福利', '年终奖', '员工旅游', '团建聚餐', '生日福利', '带薪病假', '五险一金', '工作生活平衡', '免费班车', '交通补助', '补充医疗保险', '意外险']"
物联网IOT开发,11-17K·13薪,"['ARM开发', '计算机相关专业', '通信相关专业', '嵌入式/单片机开发经验']",西安,大专,3-5年,山东浪潮卓智信息科技,计算机软件,"['补充医疗保险', '五险一金', '定期体检']"
电力物联网后端开发工程师,7-8K,"['C++', 'Python', 'Elasticsearch', 'Oracle', '分布式经验']",保定,本科,3-5年,北京国电瑞恒,仪器仪表/工业自动化,"['带薪年假', '工龄奖', '全勤奖', '五险一金', '年终奖', '节假日加班费']"
IOT云平台开发,21-30K,"['云平台开发', 'IOT']",东莞,本科,经验不限,某知名新能源公司,新能源,"['定期体检', '五险一金']"
测试工程师（物联网方向）,8-10K,"['性能测试', '功能测试', '硬件测试', '物联网']",福州,本科,3-5年,天成时代,智能硬件,"['团建聚餐', '员工旅游', '带薪年假', '五险一金', '节日福利', '免费班车']"
电子工程师（IOT方向）,6-9K·13薪,"['PCB设计', '热风枪', '示波器', 'Altium Designer', '智能家居赛道', 'BOM 焊接']",深圳,本科,1年以内,勒基恩,智能硬件,"['五险一金', '团建聚餐', '底薪加提成', '绩效奖金', '全勤奖', '工龄奖', '员工旅游', '节日福利', '工龄奖', '年终奖', '有无线网']"
物联网工程师,4-7K,"['PLC编程', '人机界面软件']",烟台,本科,经验不限,金软科技,电子商务,"['五险一金', '年终奖', '带薪年假', '定期体检', '节日福利']"
数采工程师（物联网工程师）,4-8K,"['数据采集', '自动化']",长春,大专,1-3年,吉林野马软件有限公司,计算机软件,"['节日福利', '团建聚餐', '零食下午茶', '五险一金']"
物联网云平台负责人,6-7K,"['.NET', 'C#', '数据采集']",广州,本科,经验不限,广州立东,仪器仪表/工业自动化,"['宿舍有空调', '住房补贴', '生日福利', '免费工装', '五险一金', '意外险', '员工旅游', '包住', '年终奖', '团建聚餐', '带薪年假', '节日福利']"
物联网内测工程师,12-20K,"['功能测试', '性能测试']",北京,本科,3-5年,巴丁物联,互联网,"['五险一金', '全勤奖']"
软件测试物联网独角兽企业/16薪年薪50w以内,14-28K·15薪,"['自动化测试', '压力测试', '渗透测试', 'Python', 'Java', '掌握软件测试理论和流程', '软件开发经验', '计算机相关专业']",西安,本科,经验不限,某大型互联网上市集团公司,计算机软件,"['年终奖', '补充医疗保险', '餐补', '股票期权', '员工旅游', '零食下午茶', '五险一金', '节日福利', '定期体检', '加班补助']"
物联网工程师,30-40K,"['Java', 'SpringCloud', '不接受居家办公', '物联网经验', '物联网']",衡阳,本科,5-10年,某知名其他行业公司,其他行业,[]
物联网软件开发工程师,7-10K,"['java', 'springboot', 'vue', 'javascript', 'css', 'modbus', 'tcp', 'mqtt']",贵阳,本科,1-3年,贵州城服,生活服务（O2O）,"['员工旅游', '节日福利', '五险一金', '年终奖']"
物联网（IoT）架构师,15-30K,"['Java', '微服务架构', '搜索引擎技术', '分布式技术', 'Spring']",青岛,本科,3-5年,歌尔股份,仪器仪表/工业自动化,"['全勤奖', '员工旅游', '节日福利', '五险一金', '加班补助', '住房补贴', '年终奖', '带薪年假']"
物联网工程师（包吃住，五险一金）,6-9K,"['Java', 'Python', 'C#', 'C语言']",东莞,本科,1-3年,飞尔特,机械设备/机电/重工,"['五险一金', '全勤奖', '包住', '定期体检', '包吃', '节日福利', '年终奖', '带薪年假', '补充医疗保险', '零食下午茶', '员工旅游', '加班补助', '住房补贴']"
