Job Name,Job Salary,Job Year,Job Area,Job Degree,Job label,Industry,Scale
物联网电气工程师,1.2-2.4万,4年及以上,泰州,本科,"['培训', 'mysql', '数据库', '电子', '自动化', 'plc', '电气', '通信', '功能设计', 'tcp', '绩效奖金', '年终奖金', '专业培训', '节日福利']",['汽车'],['5000-10000人']
物联网硬件工程师,8千-1.2万,5年及以上,沈阳·沈北新区,本科,"['调试', '软件开发', 'pcb', '项目开发', 'spi', 'tcp', '测试方案', 'i2c', '传感器', '免费班车', '包吃', '节日福利', '五险']",['仪器仪表/工业自动化'],['50-150人']
嵌入式软件工程师（物联网方向）,1.5-3万,2年,深圳·坪山区,本科,"['物联网', '五险一金', '免费班车', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金']",['通信/电信/网络设备'],['500-1000人']
物联网开发工程师,9千-1.5万,1年,嘉兴,本科,"['物联网', '五险一金', '餐饮补贴', '绩效奖金', '带薪年假', '员工旅游', '年终奖金', '专业培训']",['互联网/电子商务'],['150-500人']
物联网电气工程师,1.2-2.4万,4年及以上,泰州,本科,"['培训', 'mysql', '数据库', '电子', '自动化', 'plc', '电气', '通信', '功能设计', 'tcp', '绩效奖金', '年终奖金', '专业培训', '节日福利']",['汽车'],['5000-10000人']
嵌入式软件工程师（物联网方向）,1.5-2.5万,3年及以上,上海·嘉定区,本科,"['嵌入式', '周末双休', '五险一金', '绩效奖金', '年终奖金', '专业培训', '节日福利']",['计算机服务(系统、数据服务、维修)'],['50-150人']
嵌入式软件工程师（物联网方向）,1.5-3万,2年,深圳·坪山区,本科,"['物联网', '五险一金', '免费班车', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金']",['通信/电信/网络设备'],['500-1000人']
物联网硬件工程师,1.8-3.5万·13薪,5-7年,珠海,本科,"['嵌入式硬件', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']",['电子技术/半导体/集成电路'],['50-150人']
嵌入式软件工程师（物联网方向）,1.5-2.5万,3年及以上,上海·嘉定区,本科,"['嵌入式', '周末双休', '五险一金', '绩效奖金', '年终奖金', '专业培训', '节日福利']",['计算机服务(系统、数据服务、维修)'],['50-150人']
物联网工程师,1-1.2万,3-4年,上海·浦东新区,大专,"['培训', '计算机', 'java', 'mysql', '数据库', '电子', 'linux', '测试', 'springboot', 'redis', '五险一金', '定期体检', '绩效奖金']",['环保'],['50-150人']
销售工程师（物联网硬件）,5千-1万·13薪,1年,上海·闵行区,大专,"['餐饮补贴', '专业培训', '定期体检', '年终奖金', '五险一金', '全勤奖', '节日福利', '周年庆礼品', '销售提成', '开发客户', '客户关系维护', '回访', '开拓', '商务谈判', 'ppt演讲', '理工科', '销售', '行业客户']",['通信/电信/网络设备'],['50-150人']
物联网销售经理,7千-1.4万,2年及以上,成都·郫都区,大专,"['五险一金', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '周末双休']",['电子技术/半导体/集成电路'],['50-150人']
物联网工程师,7千-1.4万,5-7年,无锡·梁溪区,本科,"['物联网', 'CAD', '电气自动化', '机电工程师', '五险一金', '年终奖金', '周末双休', '法定节假日', '员工福利']",['计算机软件'],['少于50人']
电子与物联网技术老师（计算机）,5千-1万,2年,清远·清城区,本科,"['授课', '系统开发', '电子信息工程', '通信工程', 'rfid', '软件编程', '职业教育', 'android应用', '物联网应用', '物联网工程', '节日福利', '五险一金', '餐饮补贴', '定期体检', '年终奖金', '免费班车', '绩效奖金', '专业培训', '企业年金', '带薪寒暑假']",['教育/培训/院校'],['1000-5000人']
物联网技术助理工程师,7千-1.2万,无需经验,郑州,本科,"['电子信息', '物联网', '通信', '调试', '五险一金']",['计算机软件'],['']
物联网销售经理（火烧云服务云平台）,8-15万/年,3-4年,无锡·滨湖区,本科,"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '交通补贴', '餐饮补贴', '通讯补贴', '高温补贴', '租房补贴', '销售经理', '销售工程师']",['环保'],['少于50人']
物联网部署工程师,1.5-1.8万,1年及以上,南通·通州区,本科,"['施工', '调试', '竣工验收', '安装调试', '计算机网络', 'http', '技术指导', 'tcp', '系统集成', '设计交底', '五险一金', '员工旅游', '餐饮补贴', '年终奖金', '绩效奖金', '定期体检']",['制药/生物工程'],['150-500人']
智能化工程师（物联网平台）,1.2-2.4万,3年及以上,广州·南沙区,本科,"['scm', 'hkust', 'education', '物联网平台', '智能化工程师', 'iot', 'platform', 'science', 'moe', '五险一金', '补充医疗保险', '带薪年假', '试用期全额', '全额公积金']",['教育/培训/院校'],['150-500人']
区域销售经理（物联网/智能化）,20-40万/年,3-4年,宁波·鄞州区,大专,"['物联网销售', '区域销售', '智能化销售', '销售经理', '周末双休', '高温补贴', '全勤奖', '五险']",['计算机软件'],['50-150人']
AIoT产品经理/物联网平台产品经理,1.3-1.6万,3-5年,苏州·苏州工业园区,本科,"['AIoT', '物联网平台', '五险一金', '补充医疗保险', '员工旅游', '交通补贴', '年终奖金', '绩效奖金']",['计算机软件'],['50-150人']
产品经理（物联网方向）,8千-1.3万,2年及以上,上海·松江区,本科,"['软件开发', '产品设计', '原型设计', '界面设计', '产品规划', '设计管理', '物联网', '测试流程', '开发文档', '技术开发', '五险一金', '免费班车', '绩效奖金', '定期体检', '带薪年假', '免费住宿', '餐补']",['制药/生物工程'],['1000-5000人']
物联网工程教师,6千-1.2万·13薪,1年,武汉·洪山区,硕士,"['老师', '教师', '讲师', '五险一金', '免费班车', '员工旅游', '专业培训', '通讯补贴', '餐饮补贴', '交通补贴', '年终奖金', '定期体检', '寒暑假']",['教育/培训/院校'],['500-1000人']
物联网技术助理工程师,7千-1.2万·13薪,无需经验,北京·昌平区,本科,"['电子信息', '物联网', '通信', '调试', '五险一金']",['计算机软件'],['']
物联网技术支持工程实习生,4-8千,无需经验,长春·南关区,大专,"['电子信息工程', '安装管理', '物联网系统', '物联网工程', '技术支持', '硬件设备', '数据处理', '数据传输', '员工旅游', '带薪年假', '节日福利', '年终奖', '不加班', '五险一金', '包住', '绩效奖金', '双休']",['机械/设备/重工'],['']
物联网产品经理,8千-1.2万,3年及以上,广州,本科,"['管理', '推广', '产品开发', '原型设计', '物联网', '计算机科学', '需求管理', 'sketch', '信息技术', '质量保证', '周末双休', '五险一金', '专业培训', '上市公司', '晋升渠道畅通']",['检测，认证'],['150-500人']
测试开发工程师（物联网）,1.3-2.5万·13薪,3年及以上,深圳·福田区,本科,"['测试', '功能测试', '性能测试', '英文', '压力测试', '硬件电路', 'hardware', 'testing', '团队测试', '日志记录', '五险一金', '绩效奖金', '年终奖金', '弹性工作']",['电子技术/半导体/集成电路'],['少于50人']
物联网产品经理,8千-1.2万,3年及以上,广州,本科,"['管理', '推广', '产品开发', '原型设计', '物联网', '计算机科学', '需求管理', 'sketch', '信息技术', '质量保证', '周末双休', '五险一金', '专业培训', '上市公司', '晋升渠道畅通']",['检测，认证'],['150-500人']
物联网技术助理工程师,7千-1.2万,无需经验,郑州,本科,"['电子信息', '物联网', '通信', '调试', '五险一金']",['计算机软件'],['']
物联网软件测试工程师（初级）,6-8千·13薪,无需经验,深圳·龙华区,大专,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检']",['计算机软件'],['少于50人']
区域销售经理（物联网/智能化）,20-40万/年,3-4年,宁波·鄞州区,大专,"['物联网销售', '区域销售', '智能化销售', '销售经理', '周末双休', '高温补贴', '全勤奖', '五险']",['计算机软件'],['50-150人']
物联网工程教师,6千-1.2万·13薪,1年,武汉·洪山区,硕士,"['老师', '教师', '讲师', '五险一金', '免费班车', '员工旅游', '专业培训', '通讯补贴', '餐饮补贴', '交通补贴', '年终奖金', '定期体检', '寒暑假']",['教育/培训/院校'],['500-1000人']
高级物联网测试工程师,1.3-1.8万·13薪,5-8年,广州·海珠区,本科,"['五险一金', '带薪年假', '节日福利', '免费班车', '绩效奖金', '年终奖金', '定期体检']",['机械/设备/重工'],['1000-5000人']
物联网销售经理,1-1.8万,1年,深圳·南山区,大专,"['销售专员', '销售经理', '物联网销售', '流量卡销售', '五险一金', '年终奖金', '周末双休', '餐饮补贴', '带薪年假', '节日福利', '法定节假']",['通信/电信运营、增值服务'],['少于50人']
物联网平台软件开发工程师,1-2万·13薪,2年及以上,上海·青浦区,本科,"['java', 'mysql', '数据库', '测试', '软件开发', 'mongodb', '架构设计', '技术方案', 'http', 'tcp']",['新能源'],['50-150人']
硬件工程师（物联网）,1.3-2.5万,5-7年,深圳,大专,"['电路设计', '原理图设计', '数电', '社保', '员工旅游', '餐饮补贴']",['电子技术/半导体/集成电路'],['500-1000人']
物联网产品经理,1.8-3万·14薪,5-7年,珠海·珠海高新区,本科,"['专业培训', '年终奖金', '绩效奖金', '定期体检', '餐饮补贴', '周末双休', '补充医疗保险', '免费班车', '交通补贴', '六险一金']",['电气/电力/水利'],['1000-5000人']
物联网硬件工程师,8千-1.2万,2年及以上,广州·海珠区,本科,"['计算机', '电子', '测试', 'c++', '功能测试', '编程', '通信', '研发', '数据结构', '性能测试', '社会保险']",['计算机软件'],['少于50人']
物联网产品经理,1.2-1.4万,3年及以上,西安·雁塔区,本科,"['产品开发', '物联网', '物联网产品', '产品性能', '通信网络架构', '五险一金', '绩效奖金', '年终奖金', '交通补贴']",['计算机服务(系统、数据服务、维修)'],['少于50人']
硬件工程师（物联网）,1.3-2.5万,5-7年,深圳,大专,"['电路设计', '原理图设计', '数电', '社保', '员工旅游', '餐饮补贴']",['电子技术/半导体/集成电路'],['500-1000人']
物联网产品经理,1.8-3万·14薪,5-7年,珠海·珠海高新区,本科,"['专业培训', '年终奖金', '绩效奖金', '定期体检', '餐饮补贴', '周末双休', '补充医疗保险', '免费班车', '交通补贴', '六险一金']",['电气/电力/水利'],['1000-5000人']
物联网销售工程师,8千-1.6万,2年,深圳·南山区,大专,"['销售代表', 'CAT1', '5G通讯', 'DTU', '物联网', '电脑']",['计算机软件'],['50-150人']
物联网工程师,12-15万/年,2年,上海·青浦区,本科,"['软件工程师', '网络', '五险一金', '专业培训', '年终奖金', '定期体检', '免费班车']",['环保'],['50-150人']
物联网工程师,1.2-2万,2年,南京·江宁区,本科,"['linux', '物联网', 'tcp/ip', 'modbus', 'mqtt', 'usb', 'lora', 'nb_iot', '五险一金', '定期体检', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']",['通信/电信/网络设备'],['500-1000人']
物联网全栈研发工程师,1-2万,5年及以上,武汉·洪山区,本科,"['物联网', 'java', '数据库', 'vue', 'linux', 'html5', 'docker', '分布式', '前后端开发', '全栈开发', '五险一金', '周末双休', '员工体检', '下午茶', '节日福利', '员工团建']",['计算机软件'],['少于50人']
物联网技术支持工程实习生,4-8千,无需经验,长春·南关区,大专,"['电子信息工程', '安装管理', '物联网系统', '物联网工程', '技术支持', '硬件设备', '数据处理', '数据传输', '员工旅游', '带薪年假', '节日福利', '年终奖', '不加班', '五险一金', '包住', '绩效奖金', '双休']",['机械/设备/重工'],['']
物联网工程师,8千-1.2万·13薪,2年,长沙·长沙县,本科,"['计算机', '工业互联网', '工业通讯协议', '物联网平台', '云平台', '平台开发', '机械电子工程', '物联网', '方案设计书', '网络通讯协议', '周末双休', '通讯补贴', '绩效奖金', '定期体检', '员工旅游', '餐饮补贴', '购买五险', '包吃包住']",['环保'],['少于50人']
