Job Name,Job Salary,Job Year,Job Area,Job Degree,Job label
嵌入式Linux工程师(物联网 前景好),1.5-2.5万,3-4年,深圳·南山区,本科,"['git', 'svn', 'modbus', 'rs485', 'https', '五险一金', '员工旅游', '专业培训', '绩效奖金', '股票期权', '周末双休']"
物联网硬件产品专员,8千-1.2万,1-3年,深圳·龙岗区,大专,"['计算机', '电子', '项目管理', '市场分析', '竞品分析', '产品规划', '通讯', 'ipc', '品牌定位', '通信协议', '五险一金', '员工旅游', '交通补贴', '通讯补贴', '专业培训', '出国机会', '绩效奖金', '定期体检', '节日福利']"
物联网硬件工程师,1.8-3.5万·13薪,5-7年,珠海,本科,"['模电', '滤波器', '霍尔', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']"
实施工程师（物联网）,8千-1.2万,3-4年,成都·高新区,大专,"['测试', 'cad', 'excel', '调试', '验收', 'word', 'ppt', '电脑', '运维', '供应商管理', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '定期体检']"
DQ-软件项目经理（物联网）,1-1.5万·13薪,2年,北京·通州区,本科,"['物联网', '驻场服务', '软件项目', '年终奖金', '员工旅游', '定期体检', '通讯补贴', '餐饮补贴', '专业培训', '年底双薪', '带薪年假', '一年加薪一次', '六险一金']"
物联网行业销售（华北、华东地区,2.5-4万·13薪,5年及以上,,本科,"['五险一金', '员工旅游', '专业培训', '交通补贴', '出国机会', '年终奖金', '定期体检']"
高级售前工程师（人工智能及物联网方向）,2-2.5万,5年及以上,广州·南沙区,本科,"['服务器', '大数据', '安全', '云计算', '物联网', '人工智能', 'it行业', '电力行业', '方案汇报', '技术协调', '带薪年假', '五险一金', '绩效奖金', '定期体检', '专业培训', '项目奖金']"
物联网硬件工程师,1.8-3.5万·13薪,5-7年,珠海,本科,"['模电', '滤波器', '霍尔', '五险一金', '带薪年假', '节日福利', '年终奖金', '绩效奖金', '定期体检', '股票期权', '餐饮补贴', '专业培训']"
ARM软件工程师（物联网方向）(J10195),1-2万·13薪,3-4年,无锡·新吴区,本科,"['freertos', '以太网', '无线模块', '无线通信', 'can', '嵌入式系统', '逆变器', '4g', '通讯', 'wifi', '五险一金', '免费班车', '餐饮补贴', '年终奖金', '定期体检']"
物联网平台产品经理,1.4-2.8万,3年及以上,苏州·吴江区,本科,"['管理', '测试', '市场调研', '产品开发', '试产', '理工科', '竞品分析', '调研', '产品规划', '用户体验', '五险一金', '补充医疗保险', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '股票期权', '弹性工作']"
物联网工程师,6-8千,无需经验,郑州·管城回族区,大专,"['计算机', '嵌入式', '物联网', '售前方案', '安全技术', '无线通信协议', '软硬件设计', '售后技术支持', '售前技术支持', '五险一金', '补充医疗保险', '餐饮补贴', '交通补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
物联网平台研发工程师,1.5-3万·13薪,3-4年,北京,本科,"['java', 'mysql', '数据库', 'linux', 'springboot', 'redis', 'springcloud', '网络', '运维', 'shell', '年底双薪', '绩效奖金', '带薪年假', '五险一金', '午餐补助']"
产品经理（物联网云平台方向）,10-15万/年,3-4年,北京·朝阳区,硕士,"['五险一金', '交通补贴', '年终奖金', '定期体检']"
研发总监（智能物联网、仪器仪表）,3-3.5万,5-7年,深圳,本科,"['电子', '团队管理', '电子元器件', '模拟电路', '产品设计', '物联网', '电子信息工程', '传感器', '硬件', '项目', '定期体检', '专业培训', '员工旅游', '年终奖金', '五险一金', '周末双休']"
物联网安全工程师/六险,6-8千,1年,深圳·龙华区,大专,"['系统集成', '网络安全', '电子', '自动化', '技术支持', '软件', '应届生', '编程', '储备干部', '机械', '周末双休', '带薪年假', '五险一金', '包住宿', '餐饮补贴', '节日福利', '绩效奖金', '定期体检']"
物联网工程师,8千-1.2万,无需经验,北京·丰台区,本科,"['设备连接', '串口调试', '医疗设备', '网络协议', '网络通信', '协议分析', '五险一金', '绩效奖金', '年终奖金', '定期体检', '专业培训', '员工旅游', '节日福利']"
嵌入式软件开发(物联网),1-1.5万·13薪,3年及以上,南京,本科,"['开发', 'c++', '电气', '数字电路', '原理图', 'spi', 'mcu', 'pcb设计', '编程语言', 'i2c', '五险一金', '员工旅游', '弹性工作', '餐饮补贴', '年终奖金', '股票期权']"
IOT物联网嵌入式设备软件开发工程师,1.5-2.5万,1年,上海·青浦区,本科,"['嵌入式', '物联网', '五险一金', '餐饮补贴', '通讯补贴', '员工旅游', '绩效奖金', '年终奖金', '交通补贴']"
物联网高级工程师（粤建数智）(J10291),18-30万/年,5年及以上,广州,本科,"['c#', '物联网', '云计算', '软件工程', '五险一金', '国家假期']"
4G模组及国际物联网流量销售总监,1.5-2.5万,5年及以上,深圳·宝安区,大专,"['五险一金', '绩效奖金', '专业培训', '出国机会', '做五休二', '移远', '美格', '广和通', 'simcom模组', '智能通信厂家', '出门类客户']"
物联网门禁停车场工程师,1-1.5万·13薪,1年,北京·海淀区,本科,"['门禁停车场', '技术支持', '投标书', '需求沟通', '技术交流', '系统演示', '设备安装指导', '五险', '交通补贴', '餐补', '带薪年假', '年底双薪']"
硬件研发工程师（无线 / 物联网）,1.2-2万·13薪,3年及以上,深圳·南山区,大专,"['电路设计', '二次开发', '无线通讯产品', 'mcu', '模块', '网关', '终端', '低功耗', 'wifi', 'LORA', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检']"
中国移动物联网垃圾分类项目现场项目经理,9千-1.4万,2年及以上,深圳·福田区,本科,"['计算机', '管理', '电子', '项目管理', '通信', '风险识别', '项目交付', 'pmp证书', '数理统计', '沟通管理', '五险一金', '绩效奖金', '带薪年假', '定期体检', '餐饮补贴', '专业培训', '带薪培训']"
物联网嵌入式开发工程师,4-7千,无需经验,成都·成华区,大专,"['plc', '机电', '技术方案', '自动控制', '测控', '电气图纸绘制', '控制方案', '电子工程', '人机界面软件', '系统设计', '六险一金', '餐饮补贴', '专业培训', '弹性工作', '绩效奖金', '定期体检']"
自动化控制/物联网/集控站初级、中级运维,4-7千,无需经验,成都·高新区,大专,"['计算机', '测试', '运维', '物联网', '运行维护', '联调', '运维保障', '应用支持', '集控系统', '客户需求', '五险一金', '补充医疗保险', '补充公积金', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '专业培训', '定期体检']"
物联网工程师,7千-1.2万,无需经验,石家庄·裕华区,本科,"['计算机', '电气自动化', '数据采集', 'modbus', '通讯协议', 'mqtt', '数据集成', '网关', '智能化管理', '远程监控']"
物联网产品经理,1.8-3万,3-5年,深圳·光明区,本科,"['产品设计', '用户调研', '产品方案', '业务流程图', 'pc端', '分析产品数据', '原型输出', '手机端设计', '推进项目进度', '餐饮补贴', '年终奖金', '绩效奖金', '专业培训', '五险一金', '年终奖金', '弹性工作', '定期体检', '员工旅游', '交通补贴', '通讯补贴', '餐饮补贴']"
物联网销售经理,1-1.8万,1年,深圳·南山区,大专,"['销售专员', '销售经理', '物联网销售', '流量卡销售', '五险一金', '年终奖金', '周末双休', '餐饮补贴', '带薪年假', '节日福利', '法定节假']"
软件测试初级(物联网项目),5-7千·13薪,无需经验,深圳·龙华区,大专,"['功能测试', '软件测试', '自动化测试', '五险一金', '餐饮补贴', '员工旅游', '绩效奖金', '年终奖金', '定期体检', '弹性工作']"
物联网测试工程师,1.2-2.2万,2年及以上,珠海,本科,"['物联网测试', '五险一金', '免费班车', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检', '每年调薪']"
物联网,8千-1.2万·13薪,无需经验,郑州,本科,"['五险一金', '年终奖金']"
中国移动物联网垃圾分类项目现场项目经理,9千-1.4万,2年及以上,深圳·福田区,本科,"['计算机', '管理', '电子', '项目管理', '通信', '风险识别', '项目交付', 'pmp证书', '数理统计', '沟通管理', '五险一金', '绩效奖金', '带薪年假', '定期体检', '餐饮补贴', '专业培训', '带薪培训']"
物联网门禁停车场工程师,1-1.5万·13薪,1年,北京·海淀区,本科,"['门禁停车场', '技术支持', '投标书', '需求沟通', '技术交流', '系统演示', '设备安装指导', '五险', '交通补贴', '餐补', '带薪年假', '年底双薪']"
工业物联网研究所研发技术人员,7千-1.4万,无需经验,广州·白云区,本科,"['数据分析', '传感器', '通信工程', '计算机科学', '工业物联网', '绩效奖金', '餐饮补贴', '节日福利', '周末双休', '提供饭堂']"
物联网平台软件开发工程师,8千-1.5万·14薪,3年及以上,昆明,本科,"['计算机', 'java', 'linux', 'mybatis', 'springmvc', 'redis', 'hibernate', 'c++', '质量管理', '通信', '五险一金', '周末双休', '年终奖金', '专业培训', '带薪年假', '包三餐']"
HJ-软件产品助理（物联网方向）,6-9千·13薪,1-3年,西安·高新技术产业开发区,本科,"['软件工程', '需求沟通', '跟踪bug', '文档撰写', '售前技术支持', '技术支持', '计算机语言', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检', '周末双休', '加班补贴', '一年加薪一次', '六险一金']"
物联网产品经理,6千-1.2万,无需经验,南京·鼓楼区,本科,"['计算机', '测试', '运营', '需求分析', '项目管理', '市场调研', '市场推广', '营销策略', '物联网', '商业合作', '餐饮补贴']"
物联网技术专家（CTO）,4-7万·14薪,10年及以上,福州,硕士,"['五险一金', '免费班车', '周末双休', '餐饮补贴', '绩效奖金', '十四薪']"
物联网工程师,7千-1.2万,无需经验,石家庄·裕华区,本科,"['计算机', '电气自动化', '数据采集', 'modbus', '通讯协议', 'mqtt', '数据集成', '网关', '智能化管理', '远程监控']"
城市经理（物联网）,2-3万,3年及以上,深圳·龙华区,本科,"['市场调研', '合同签订', '开发新客户', '市场销售', '开拓市场', '销售达成', '销售管理计划', '数智化', '五险一金', '定期体检', '员工旅游', '年终奖金', '绩效奖金', '餐补', '带薪年假', '节日福利', '做五休二']"
物联网应用技术专业教师,6-8千,1年,绵阳,硕士,"['电子信息工程', '通信工程', '教授', '讲师', '物联网工程', '职业资格证书', '高校教学', '五险一金', '绩效奖金', '年终奖金', '寒暑假']"
销售经理(物联网方向),1-1.5万,3-4年,深圳·宝安区,本科,"['销售', '物联网', '通信模组', 'IOT', '销售工程师', '定位系统', 'UWB', '五险一金', '年终奖金', '餐饮补贴', '弹性工作', '员工旅游', '定期体检', '通讯补贴', '交通补贴', '下午茶', '周末双休']"
物联网智能与先进计算研究员,1.5-3万·13薪,2年,北京,硕士,"['计算机', 'java', 'c++', '编码', '性能调优', '人工智能', '数据挖掘', '数据结构算法', 'tensorflow', '计算机视觉', '年底双薪', '绩效奖金', '带薪年假', '五险一金', '午餐补助']"
电力物联网项目经理/总监,1.2-2万·13薪,5-8年,佛山·顺德区,本科,"['五险一金', '绩效奖金', '年终奖金', '员工旅游', '专业培训', '交通补贴']"
物联网工程师,8千-1.2万,5-7年,无锡·锡山区,本科,"['c++', 'java', '自动化', '通信工程', '蓝牙', '嵌入式', '五险一金', '节日福利', '团康活动']"
物联网行业销售,2.5-4万·13薪,5年及以上,深圳·南山区,本科,"['五险一金', '员工旅游', '专业培训', '交通补贴', '出国机会', '年终奖金', '定期体检', '销售', '管理', '销售计划', '市场开拓', '渠道开拓', '物联网', '智能家电', '智能家居', '智能照明']"
物联网项目经理,1-1.5万,1年,上海·奉贤区,本科,"['项目管理', '成本控制', '风险管理', '项目计划', '物联网', '指导', '报告撰写', 'scrum', '控制项目成本', '进度安排', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '出国机会', '定期体检', '弹性工作']"
产品经理（物联网/自动识别/ai）,8千-1.6万·13薪,3-4年,深圳·南山区,本科,"['计算机', '数据分析', '电子', '需求分析', '项目管理', '自动化', '市场推广', '产品开发', '产品设计', '产品推广', '五险一金', '绩效奖金', '年终奖金']"
销售代表（工业物联网产品）,6-8千·14薪,2年,青岛·城阳区,大专,"['带薪年假', '五险一金', '加班补贴', '免费班车', '员工旅游', '交通补贴', '14薪']"
物联网嵌入式高级开发工程师,8千-1.5万·14薪,3年及以上,昆明,本科,"['计算机', 'linux', 'c++', '编程', 'android', '电子信息', 'tcp', '系统开发', 'stm32', 'wifi', '五险一金', '周末双休', '年终奖金', '专业培训', '带薪年假', '包三餐']"
物联网平台运营专员,7千-1万,1年及以上,广州·番禺区,本科,"['数据分析', '运营', '项目运营', '用户需求', '监控运营数据', '跟踪项目进度', '用户运营', '专业培训', '团建', '可包食宿']"
